state,age_band,children_per_staff,verify,note
AL,infant (state-defined),5,,
AL,18-30 mos,7,yes,Age bands overlap as published; check Alabama's code for exact cutoffs
AL,24-36 mos,8,yes,Age bands overlap as published
AL,30 mos-4 yrs,11,yes,Age bands overlap as published
AL,4+ yrs,18,,
AK,6 wks-11 mos,4,yes,A second source lists 1:5 for Alaska infants
AK,12-18 mos,5,,
AK,toddler (state-defined),6,,
AK,preschool (state-defined),10,,
AR,infant (state-defined),5,,
AR,toddler (state-defined),8,,
AR,2.5-3 yrs,12,,
AR,4 yrs,15,,
AR,5 yrs,18,,
AZ,infant (state-defined),5,,
AZ,1 yr,6,,
AZ,2 yrs,8,,
AZ,3 yrs,13,,
AZ,4 yrs,15,,
AZ,5 yrs,20,,
CA,infant (state-defined),4,,
CA,toddler (state-defined),6,yes,A second source lists 1:3 to 1:4 for ages 1-2; California has more than one regulatory track
CA,preschool (state-defined),12,,
CO,infant (state-defined),5,,
CO,1-2 yrs,5,,
CO,2-3 yrs,7,yes,Age bands overlap as published
CO,2.5-3 yrs,8,yes,Age bands overlap as published
CO,3-4 yrs,10,,
CO,4-5 yrs,12,,
CT,infant (state-defined),4,,
CT,toddler (state-defined),4,,
CT,preschool (state-defined),10,,
DC,infant (state-defined),4,,
DC,1 yr,6,,
DC,2 yrs,8,,
DC,3 yrs,10,,
DC,4 yrs,12,,
DE,infant (state-defined),4,,
DE,24-30 mos,4,yes,Looks misread; a second source lists 1:6 for ages 1-2 and no 12-24 month band appears here
DE,30-48 mos,8,yes,Check against Delaware's code
DE,48-60 mos,10,,
FL,infant (state-defined),4,,
FL,1-2 yrs,6,,
FL,2-3 yrs,11,,
FL,3-4 yrs,15,,
FL,4-5 yrs,20,,
GA,infant (state-defined),6,,
GA,1 yr,8,,
GA,2 yrs,10,,
GA,3 yrs,15,,
GA,4 yrs,18,,
HI,6 wks-12 mos,4,,
HI,12-24 mos,5,,
HI,2 yrs,8,,
HI,3 yrs,12,,
HI,4 yrs,16,,
IA,infant (state-defined),4,,
IA,toddler (state-defined),4,,
IA,2 yrs,7,,
IA,3 yrs,10,,
IA,4 yrs,12,,
ID,infant (state-defined),6,yes,A second source says its Idaho figures are typical industry standards rather than state rules
ID,toddler (state-defined),8,yes,A second source lists 1:6
ID,preschool (state-defined),12,yes,Confirm how Idaho regulates centers
IL,infant (state-defined),4,,
IL,15-23 mos,5,,
IL,2 yrs,8,,
IL,3 yrs,10,,
IL,4 yrs,10,,
IL,5 yrs,20,,
IN,infant (state-defined),4,,
IN,toddler (state-defined),5,,
IN,3 yrs,10,,
IN,4 yrs,12,,
IN,5+ yrs,15,,
KS,infant (state-defined),3,,
KS,toddler (state-defined),6,,
KS,preschool (state-defined),12,,
KY,infant (state-defined),5,,
KY,12-24 mos,6,,
KY,24-36 mos,10,,
KY,3-4 yrs,12,,
KY,4-5 yrs,14,,
LA,infant (state-defined),5,,
LA,1 yr,7,,
LA,2 yrs,10,,
LA,3 yrs,13,,
LA,4 yrs,15,,
MA,infant (state-defined),3,,
MA,toddler (state-defined),4,,
MA,preschool (state-defined),10,,
MD,infant (state-defined),3,,
MD,toddler (state-defined),3,,
MD,2 yrs,6,,
MD,3-4 yrs,10,,
ME,infant (state-defined),4,,
