Student,Room,Date,Check-in Time,Check-out Time,Total Hours,Checked In By,Checked Out By
Child 0103,Infants A,08/17/2026,8:33 AM,4:40 PM,8.12,Parent/Guardian,Parent/Guardian
Child 0104,Infants A,08/17/2026,7:45 AM,5:13 PM,9.47,Parent/Guardian,Parent/Guardian
Child 0105,Infants A,08/17/2026,8:43 AM,5:10 PM,8.45,Parent/Guardian,Parent/Guardian
Child 0109,Infants A,08/17/2026,8:47 AM,4:59 PM,8.20,Parent/Guardian,Parent/Guardian
Child 0110,Infants A,08/17/2026,7:05 AM,4:48 PM,9.72,Parent/Guardian,Parent/Guardian
Child 0111,Infants A,08/17/2026,7:57 AM,4:30 PM,8.55,Parent/Guardian,Parent/Guardian
Child 0112,Infants A,08/17/2026,7:12 AM,4:29 PM,9.28,Parent/Guardian,Parent/Guardian
Child 0113,Infants A,08/17/2026,7:05 AM,4:12 PM,9.12,Parent/Guardian,Parent/Guardian
Child 0118,Infants B,08/17/2026,7:59 AM,4:24 PM,8.42,Parent/Guardian,Parent/Guardian
Child 0121,Infants B,08/17/2026,7:35 AM,6:00 PM,10.42,Parent/Guardian,Parent/Guardian
Child 0123,Infants B,08/17/2026,8:09 AM,5:26 PM,9.28,Parent/Guardian,Parent/Guardian
Child 0126,Infants B,08/17/2026,7:57 AM,4:19 PM,8.37,Parent/Guardian,Parent/Guardian
Child 0131,Infants B,08/17/2026,6:30 AM,5:38 PM,11.13,Parent/Guardian,Parent/Guardian
Child 0134,Infants B,08/17/2026,7:13 AM,5:28 PM,10.25,Parent/Guardian,Parent/Guardian
Child 0138,Infants B,08/17/2026,8:22 AM,5:11 PM,8.82,Parent/Guardian,Parent/Guardian
Child 0139,Ones,08/17/2026,8:57 AM,5:40 PM,8.72,Parent/Guardian,Parent/Guardian
Child 0143,Ones,08/17/2026,7:44 AM,5:39 PM,9.92,Parent/Guardian,Parent/Guardian
Child 0144,Ones,08/17/2026,8:31 AM,4:28 PM,7.95,Parent/Guardian,Parent/Guardian
Child 0148,Ones,08/17/2026,9:16 AM,5:25 PM,8.15,Parent/Guardian,Parent/Guardian
Child 0150,Ones,08/17/2026,6:36 AM,5:44 PM,11.13,Parent/Guardian,Parent/Guardian
Child 0152,Ones,08/17/2026,7:12 AM,4:52 PM,9.67,Parent/Guardian,Parent/Guardian
Child 0156,Ones,08/17/2026,8:21 AM,4:31 PM,8.17,Parent/Guardian,Parent/Guardian
Child 0159,Ones,08/17/2026,7:39 AM,4:22 PM,8.72,Parent/Guardian,Parent/Guardian
Child 0160,Ones,08/17/2026,8:13 AM,5:22 PM,9.15,Parent/Guardian,Parent/Guardian
Child 0166,Ones,08/17/2026,7:26 AM,5:00 PM,9.57,Parent/Guardian,Parent/Guardian
Child 0168,Twos A,08/17/2026,7:42 AM,3:41 PM,7.98,Parent/Guardian,Parent/Guardian
Child 0169,Twos A,08/17/2026,6:30 AM,5:32 PM,11.03,Parent/Guardian,Parent/Guardian
Child 0173,Twos A,08/17/2026,7:33 AM,4:48 PM,9.25,Parent/Guardian,Parent/Guardian
Child 0177,Twos A,08/17/2026,8:23 AM,4:47 PM,8.40,Parent/Guardian,Parent/Guardian
Child 0179,Twos A,08/17/2026,8:32 AM,5:34 PM,9.03,Parent/Guardian,Parent/Guardian
Child 0181,Twos A,08/17/2026,6:36 AM,4:23 PM,9.78,Parent/Guardian,Parent/Guardian
Child 0182,Twos A,08/17/2026,8:40 AM,3:38 PM,6.97,Parent/Guardian,Parent/Guardian
Child 0186,Twos A,08/17/2026,9:38 AM,3:09 PM,5.52,Parent/Guardian,Parent/Guardian
Child 0193,Twos A,08/17/2026,6:46 AM,5:02 PM,10.27,Parent/Guardian,Parent/Guardian
Child 0195,Twos A,08/17/2026,8:47 AM,4:41 PM,7.90,Parent/Guardian,Parent/Guardian
Child 0197,Twos A,08/17/2026,7:58 AM,3:56 PM,7.97,Parent/Guardian,Parent/Guardian
Child 0199,Twos A,08/17/2026,7:46 AM,5:11 PM,9.42,Parent/Guardian,Parent/Guardian
Child 0202,Twos A,08/17/2026,7:30 AM,4:03 PM,8.55,Parent/Guardian,Parent/Guardian
Child 0204,Twos B,08/17/2026,8:43 AM,3:37 PM,6.90,Parent/Guardian,Parent/Guardian
Child 0207,Twos B,08/17/2026,7:58 AM,3:57 PM,7.98,Parent/Guardian,Parent/Guardian
Child 0210,Twos B,08/17/2026,6:39 AM,5:31 PM,10.87,Parent/Guardian,Parent/Guardian
Child 0216,Twos B,08/17/2026,8:14 AM,6:00 PM,9.77,Parent/Guardian,Parent/Guardian
Child 0217,Twos B,08/17/2026,6:30 AM,4:46 PM,10.27,Parent/Guardian,Parent/Guardian
Child 0218,Twos B,08/17/2026,8:00 AM,4:56 PM,8.93,Parent/Guardian,Parent/Guardian
Child 0220,Twos B,08/17/2026,7:20 AM,4:50 PM,9.50,Parent/Guardian,Parent/Guardian
Child 0223,Twos B,08/17/2026,9:07 AM,5:57 PM,8.83,Parent/Guardian,Parent/Guardian
Child 0227,Twos B,08/17/2026,6:49 AM,6:00 PM,11.18,Parent/Guardian,Parent/Guardian
Child 0229,Twos B,08/17/2026,8:16 AM,4:54 PM,8.63,Parent/Guardian,Parent/Guardian
Child 0233,Twos B,08/17/2026,7:58 AM,4:39 PM,8.68,Parent/Guardian,Parent/Guardian
Child 0237,Twos B,08/17/2026,7:37 AM,4:01 PM,8.40,Parent/Guardian,Parent/Guardian
Child 0239,Threes,08/17/2026,9:21 AM,5:01 PM,7.67,Parent/Guardian,Parent/Guardian
Child 0244,Threes,08/17/2026,8:02 AM,5:41 PM,9.65,Parent/Guardian,Parent/Guardian
Child 0248,Threes,08/17/2026,8:11 AM,4:51 PM,8.67,Parent/Guardian,Parent/Guardian
Child 0252,Threes,08/17/2026,8:42 AM,12:08 PM,3.43,Parent/Guardian,Parent/Guardian
Child 0253,Threes,08/17/2026,8:28 AM,3:33 PM,7.08,Parent/Guardian,Parent/Guardian
Child 0255,Threes,08/17/2026,8:24 AM,5:32 PM,9.13,Parent/Guardian,Parent/Guardian
Child 0258,Threes,08/17/2026,7:43 AM,3:57 PM,8.23,Parent/Guardian,Parent/Guardian
Child 0259,Threes,08/17/2026,7:50 AM,5:17 PM,9.45,Parent/Guardian,Parent/Guardian
Child 0260,Threes,08/17/2026,8:10 AM,3:25 PM,7.25,Parent/Guardian,Parent/Guardian
Child 0262,Threes,08/17/2026,7:42 AM,4:10 PM,8.47,Parent/Guardian,Parent/Guardian
Child 0264,Threes,08/17/2026,7:38 AM,3:31 PM,7.88,Parent/Guardian,Parent/Guardian
Child 0266,Threes,08/17/2026,7:58 AM,12:30 PM,4.53,Parent/Guardian,Parent/Guardian
Child 0267,Threes,08/17/2026,7:36 AM,3:39 PM,8.05,Parent/Guardian,Parent/Guardian
Child 0270,Threes,08/17/2026,8:03 AM,5:18 PM,9.25,Parent/Guardian,Parent/Guardian
Child 0271,Threes,08/17/2026,7:01 AM,5:36 PM,10.58,Parent/Guardian,Parent/Guardian
Child 0273,Threes,08/17/2026,7:25 AM,2:16 PM,6.85,Parent/Guardian,Parent/Guardian
Child 0276,Threes,08/17/2026,7:25 AM,1:27 PM,6.03,Parent/Guardian,Parent/Guardian
